site,site_name,date,participation
24,North Dallas,3/1/2018,5773
24,North Dallas,4/1/2018,5686
24,North Dallas,5/1/2018,5665
24,North Dallas,6/1/2018,5557
24,North Dallas,7/1/2018,5340
24,North Dallas,8/1/2018,5294
24,North Dallas,9/1/2018,5154
24,North Dallas,10/1/2018,5002
24,North Dallas,11/1/2018,4723
24,North Dallas,12/1/2018,4734
24,North Dallas,1/1/2019,4753
24,North Dallas,2/1/2019,4768
24,North Dallas,3/1/2019,4935
24,North Dallas,4/1/2019,4930
24,North Dallas,5/1/2019,4936
24,North Dallas,6/1/2019,4957
24,North Dallas,7/1/2019,5028
24,North Dallas,8/1/2019,5100
24,North Dallas,9/1/2019,5084
24,North Dallas,10/1/2019,5106
24,North Dallas,11/1/2019,5017
24,North Dallas,12/1/2019,4999
24,North Dallas,1/1/2020,5062
24,North Dallas,2/1/2020,5037
24,North Dallas,3/1/2020,5216
24,North Dallas,4/1/2020,5508
24,North Dallas,5/1/2020,5933
24,North Dallas,6/1/2020,6030
24,North Dallas,7/1/2020,5923
24,North Dallas,8/1/2020,5554
24,North Dallas,9/1/2020,5359
24,North Dallas,10/1/2020,5373
24,North Dallas,11/1/2020,5431
24,North Dallas,12/1/2020,5487
24,North Dallas,1/1/2021,5585
24,North Dallas,2/1/2021,5664
24,North Dallas,3/1/2021,5940
24,North Dallas,4/1/2021,6047
24,North Dallas,5/1/2021,5855
24,North Dallas,6/1/2021,5876
24,North Dallas,7/1/2021,5856
24,North Dallas,8/1/2021,5916
24,North Dallas,9/1/2021,6048
24,North Dallas,10/1/2021,6035
24,North Dallas,11/1/2021,5972
25,Ledbetter,10/1/2017,7887
25,Ledbetter,11/1/2017,7713
25,Ledbetter,12/1/2017,7517
25,Ledbetter,1/1/2018,7642
25,Ledbetter,2/1/2018,7638
25,Ledbetter,3/1/2018,7663
25,Ledbetter,4/1/2018,7685
25,Ledbetter,5/1/2018,7825
25,Ledbetter,6/1/2018,7870
25,Ledbetter,7/1/2018,7567
25,Ledbetter,8/1/2018,7701
25,Ledbetter,9/1/2018,7593
25,Ledbetter,10/1/2018,7514
25,Ledbetter,11/1/2018,7231
25,Ledbetter,12/1/2018,7169
25,Ledbetter,1/1/2019,7029
25,Ledbetter,2/1/2019,6876
25,Ledbetter,3/1/2019,6926
25,Ledbetter,4/1/2019,6959
25,Ledbetter,5/1/2019,6937
25,Ledbetter,6/1/2019,7045
25,Ledbetter,7/1/2019,7188
25,Ledbetter,8/1/2019,7255
25,Ledbetter,9/1/2019,7283
