Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2017,9,48,69700,4298,980,5805,2639,13722,1040,5793,6511,13344,23749,50815,-1674,601649.6,9/1/2017,Sep,LA 48,12/1/2017,FY17,950681.9617
2017,9,49,1050,90,9,1,80,180,6,69,119,194,470,844,-29,14044.16,9/1/2017,Sep,LA 49,12/1/2017,FY17,17375.38833
2017,9,51,3400,335,58,159,234,786,61,156,510,727,1636,3149,67,44337.92,9/1/2017,Sep,LA 51,12/1/2017,FY17,74465.95
2017,9,53,1550,113,40,185,57,395,40,92,204,336,590,1321,-11,21981.44,9/1/2017,Sep,LA 53,12/1/2017,FY17,29786.38
2017,9,54,60900,3854,1119,4832,2557,12362,1190,4539,6494,12223,19657,44242,-652,523825.28,9/1/2017,Sep,LA 54,12/1/2017,FY17,948199.7633
2017,9,56,4750,343,108,196,232,879,123,205,607,935,1595,3409,-36,54544,9/1/2017,Sep,LA 56,12/1/2017,FY17,88629.08167
2017,9,58,3800,335,61,144,191,731,65,156,526,747,1471,2949,-17,41521.92,9/1/2017,Sep,LA 58,12/1/2017,FY17,76802.13667
2017,9,59,4000,405,76,312,218,1011,84,305,570,959,1798,3768,-109,48230.4,9/1/2017,Sep,LA 59,12/1/2017,FY17,83226.65
2017,9,60,1600,122,31,85,70,308,36,73,203,312,504,1124,-35,18703.36,9/1/2017,Sep,LA 60,12/1/2017,FY17,29640.36833
2017,9,61,2400,164,30,68,118,380,30,55,307,392,868,1640,-12,27289.6,9/1/2017,Sep,LA 61,12/1/2017,FY17,44825.58167
2017,9,62,1650,142,36,55,106,339,39,61,306,406,569,1314,-29,21864.96,9/1/2017,Sep,LA 62,12/1/2017,FY17,44679.57
2017,9,63,1500,93,29,46,76,244,26,53,170,249,421,914,-82,15208.96,9/1/2017,Sep,LA 63,12/1/2017,FY17,24821.98333
2017,9,64,1800,141,66,52,112,371,65,53,295,413,692,1476,-4,25032.96,9/1/2017,Sep,LA 64,12/1/2017,FY17,43073.44167
2017,9,65,2800,223,27,20,250,520,36,25,559,620,810,1950,5,27456,9/1/2017,Sep,LA 65,12/1/2017,FY17,81620.52167
2017,9,67,2100,159,27,92,133,411,32,89,348,469,815,1695,6,28204.8,9/1/2017,Sep,LA 67,12/1/2017,FY17,50812.06
2017,9,69,2850,242,65,146,158,611,72,159,364,595,1220,2426,-40,39592.32,9/1/2017,Sep,LA 69,12/1/2017,FY17,53148.24667
2017,9,70,750,30,10,5,35,80,9,22,81,112,173,365,-12,6190.4,9/1/2017,Sep,LA 70,12/1/2017,FY17,11826.945
2017,9,71,12450,701,274,1042,340,2357,289,990,1060,2339,4328,9024,-2,112619.52,9/1/2017,Sep,LA 71,12/1/2017,FY17,154772.3667
2017,9,73,13750,1195,296,590,796,2877,321,542,2142,3005,6402,12284,-79,141511.68,9/1/2017,Sep,LA 73,12/1/2017,FY17,312756.99
2017,9,74,1250,104,40,79,69,292,44,62,199,305,502,1099,-7,18287.36,9/1/2017,Sep,LA 74,12/1/2017,FY17,29056.32167
2017,9,76,41500,2712,939,2551,1797,7999,1023,2122,5065,8210,14690,30899,-232,529917.85,9/1/2017,Sep,LA 76,12/1/2017,FY17,739549.0917
2017,9,77,42500,3631,822,5631,884,10968,873,4795,3409,9077,19844,39889,-656,599930.56,9/1/2017,Sep,LA 77,12/1/2017,FY17,497753.7717
