Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015-12-01,1163,299,317,547,43,2015,LA 43,12,1500,116,31,74,78,33,71,213,9,19212.76,Dec,2016-03-01,FY16,31100.485
2015-12-01,2482,567,616,1299,44,2015,LA 44,12,2800,226,62,87,192,66,79,471,-54,39414.16,Dec,2016-03-01,FY16,68771.495
2015-12-01,5749,1585,1569,2595,46,2015,LA 46,12,7600,524,200,539,322,206,425,938,-183,78531.34,Dec,2016-03-01,FY16,136958.943333333
2015-12-01,56090,15280,15159,25651,48,2015,LA 48,12,69700,4715,1069,5987,3509,1105,6223,7831,-520,641108.7,Dec,2016-03-01,FY16,1143417.36166667
2015-12-01,810,159,202,449,49,2015,LA 49,12,1050,76,5,4,74,4,52,146,14,13381.2,Dec,2016-03-01,FY16,21317.7033333333
2015-12-01,3272,862,867,1543,51,2015,LA 51,12,3400,357,79,124,302,82,150,635,-36,45709.84,Dec,2016-03-01,FY16,92717.4083333333
2015-12-01,1144,321,318,505,53,2015,LA 53,12,1550,78,30,149,64,29,73,216,-54,18898.88,Dec,2016-03-01,FY16,31538.52
2015-12-01,49202,13170,13104,22928,54,2015,LA 54,12,60900,4306,1181,4729,2954,1253,4326,7525,-1059,578123.5,Dec,2016-03-01,FY16,1098737.79166667
2015-12-01,3551,925,978,1648,56,2015,LA 56,12,4750,322,144,209,250,156,238,584,41,56389.88,Dec,2016-03-01,FY16,85270.8133333333
2015-12-01,3260,826,831,1603,58,2015,LA 58,12,3800,317,80,165,264,80,148,603,-62,45542.2,Dec,2016-03-01,FY16,88045.035
2015-12-01,3725,1056,956,1713,59,2015,LA 59,12,3850,450,71,319,216,76,316,564,-46,47307.5,Dec,2016-03-01,FY16,82350.58
2015-12-01,1214,318,316,580,60,2015,LA 60,12,1600,121,27,91,79,26,81,209,-38,20055.28,Dec,2016-03-01,FY16,30516.4383333333
2015-12-01,1834,424,467,943,61,2015,LA 61,12,2400,148,26,84,166,27,65,375,-47,30297.68,Dec,2016-03-01,FY16,54754.375
2015-12-01,1397,365,396,636,62,2015,LA 62,12,1650,129,45,49,142,47,50,299,-20,23078.44,Dec,2016-03-01,FY16,43657.4883333333
2015-12-01,1081,292,292,497,63,2015,LA 63,12,1500,117,28,48,99,31,66,195,-14,17858.12,Dec,2016-03-01,FY16,28472.275
2015-12-01,1464,341,394,729,64,2015,LA 64,12,1800,123,51,39,128,54,42,298,-39,24653.76,Dec,2016-03-01,FY16,43511.4766666667
2015-12-01,2103,584,665,854,65,2015,LA 65,12,2800,218,40,31,295,36,46,583,-32,29378.91,Dec,2016-03-01,FY16,85124.8016666667
